abv,beer_desc,beer_img,beer_name,beer_rank,beer_style,brewer,est_cal,ibu,mean,overall_score,review_count,state,style_score,wgt_avg
8%,"This brew will rock your socks off, not to mention your panties! Rich chocolate flavors sinfully seduce you to shed your inhibitions. This medium-bodied beauty is exploding with a rich, creamy head and a smooth coffee finish.",,Sick N Twisted Panty Droppin' Porter,4,Imperial Porter,Sick N Twisted Brewing Company,240,34,3.43/5.0,68,12,SOUTH DAKOTA,18,3.31
,"Named for the ridiculous 4 foot dirt pile we had to put our brewery on to get us out of the FEMA-designated 100 year floodplain (no-one can remember this part of Spearfish ever flooding). This robust porter is black in color, is medium-bodied and has a rich, roasted malt flavor ending with a pleasing hop flavor and mild hop bitterness.",,Crow Peak Pile-O-Dirt Porter,3,Porter,Crow Peak Brewing Company,,207,/,68,169,SOUTH DAKOTA,54,
,"This light brown ale is brewed with a small amount of chocolate 
malt which gives the ale its rich dark color. Mount 
Hood and Willamette hops provide aroma and bitterness.",/upload/post.asp?m=1&Id=20990,Firehouse Brown Cow Ale,2,Brown Ale,Firehouse Brewing Company (SD),,,3.49/5.0,70,9,SOUTH DAKOTA,,3.32
,A fruity wine made with pure South Dakota honey and ripe red raspberries.,,Prairie Berry Raspberry Honeywine,1,Mead,Prairie Berry Winery,,300,3.48/5.0,81,32,SOUTH DAKOTA,75,3.43
10%,"Our 6th Anniversary beer is a rich and chocolatey imperial stout matured on cocoa nibs, roasted hazelnuts and vanilla beans.",,Westbrook 6th Anniversary Hazelnut Chocolate Imperial Stout,24,Imperial Stout,Westbrook Brewing,300,,/,99,91,SOUTH CAROLINA,86,
,Any store or bar or whatever who wants to do this is of course at risk of getting in trouble but for most they feel the reward out weighs the risk.,,Westbrook / Evil Twin Mini Growler,23,Imperial Stout,Westbrook Brewing,,360,/,99,197,SOUTH CAROLINA,88,
10%,,/upload/post.asp?m=1&Id=476788,Westbrook 5th Anniversary - Bourbon Barrel Aged  ,22,Imperial Stout,Westbrook Brewing,300,,4.04/5.0,99,21,SOUTH CAROLINA,88,3.87
,"For our Second Anniversary beer, we tapped into the legendary fictional adventures of the mythical Cap’n Skoon to bring you this monster Baltic Stout. It’s big and roasty like an Imperial Stout but fermented with a German lager yeast. Ideal for sipping now, or be like the Cap’n and stash some away in your cargo hold for the years to come. Cheers!",,Westbrook 2nd Anniversary Cap'n Skoon's Ballistic Stout,21,Baltic Porter,Westbrook Brewing,,300,/,99,166,SOUTH CAROLINA,98,
10%,Our 5th Anniversary beer is a dark and decadent imperial stout fermented with raspberries and finished on cocoa nibs and a touch of vanilla.,,Westbrook 5th Anniversary Chocolate Raspberry Imperial Stout,20,Imperial Stout,Westbrook Brewing,300,,/,99,83,SOUTH CAROLINA,89,
9.7%,"A highly hopped, yet still balanced, double IPA. 6 hop varieties, emphasizing Citra Hops, were used. We’re lovin’ the tropical goodness of this hop variety! July 2010: Even more Citra hops! Extreme tropical, melon and peach.",,COAST The Boy King Double IPA,19,Imperial IPA,COAST Brewing Company,291,,/,99,90,SOUTH CAROLINA,97,
,This beer is as hairy as a Siberian…or as a panther. And you better believe it because it gets the black magic from mountains of roasted malts and dark candi syrup. During the long months in the rum barrels it gathers its rage…a rage this mythical beast of an imperial stout wants to unleash on your taste buds.,,Westbrook Siberian Black Magic Panther - Rum Barrel ,18,Imperial Stout,Westbrook Brewing,,360,4.01/5.0,99,34,SOUTH CAROLINA,90,3.9
10%,"Our 4th anniversary Beer is a smooth black imperial stout aged on toasted coconuts, whole roasted almonds, and vanilla beans.",,Westbrook 4th Anniversary Chocolate Coconut Almond Imperial Stout,17,Imperial Stout,Westbrook Brewing,300,,/,99,173,SOUTH CAROLINA,89,
9.3%,**NOTE** This entry is for the bourbon barrel aged version only.  The Jack Daniels whiskey barrel aged version is under separate entry in the database.,/upload/post.asp?m=1&Id=125395,COAST Blackbeerd Imperial Stout - Bourbon Barrel,16,Imperial Stout,COAST Brewing Company,279,,/,99,62,SOUTH CAROLINA,90,
,"Black Xantus is a rare bird and the first new release from 
Nectar Ales in Years. It is the First ever “big-beer” to be released under the Nectar Ales line. Barrel aged for 6 months 
in combination of Bourbon, retired Firestone Union and 
wine barrels and Infused with fair-trade, organic coffee 
from local roaster Jobella. Rich bourbon and coffee aromas 
greet the senses. Complex chocolate and tobacco flavors 
fill the palate. This beer displays a full-bodied mouth-feel 
and an overall balanced presentation. It would be a perfect 
pairing to rich chocolate desserts.",,Humboldt Black Xantus,15,Imperial Stout,Humboldt Brewing Company (Total Beverage Solution),50,,/,99,585,SOUTH CAROLINA,91,
,,,Westbrook Siberian Black Magic Panther - Bourbon Barrel,14,Imperial Stout,Westbrook Brewing,,360,/,99,88,SOUTH CAROLINA,91,
,"At 10% ABV, this monster Baltic-style stout shows up big and roasty like an imperial stout, but the beer is actually fermented with German lager yeast.",,Westbrook 2nd Anniversary Cap'n Skoon's Ballistic Stout - Bourbon Barrel,13,Baltic Porter,Westbrook Brewing,,300,4.01/5.0,99,37,SOUTH CAROLINA,98,3.91
10.5%,Westbrook Mexican Cake aged in Pritchard’s Double Chocolate Bourbon barrels.,,Westbrook Mexican Cake Imperial Stout - Double Chocolate Bourbon Barrel,12,Imperial Stout,Westbrook Brewing,315,50,4.13/5.0,99,18,SOUTH CAROLINA,92,3.93
9.3%,"Jack Daniels barrel-aged version of the original Blackbeerd. Released 3/09, in black wax-topped bottles. Total bottle release: 96. 

As dark as the legend of Blackbeerd himself, behold the Imperial Stout. Sweet malts battle roasted grain on the decks of yer tongue. Like a blast from a cannon, hop are followed by smoked malt. Hold on to yer booty, a dark stouts a brewin’. (9.3% abv) Seasonal-winter.
And yes, this IS a lighter bodied stout-easier drinkin’ in the not so cold south.

Ingredients: Two-row barley*, Black, Caraffa*, Roasted barley*, Smoked, Oats* and Extra Special* malts, Magnum and Palisades hops, ale yeast and filtered water.",,COAST Blackbeerd Imperial Stout - Jack Daniels Barrel,11,Imperial Stout,COAST Brewing Company,279,,/,99,81,SOUTH CAROLINA,92,
,,,Westbrook Mexican Cake Imperial Stout - Maple Bourbon Barrel,10,Imperial Stout,Westbrook Brewing,,315,4.29/5.0,99,11,SOUTH CAROLINA,94,3.95
11%,"The beer so nice they named it twice. The only (known) incarnation of Siberian Black Magic Panther Imperial Stout has been this one, a draft-only version aged in Laird’s Apple Brandy Barrels. Even that has only popped up at a handful of special events. To say folks have raved about it would be an understatement.",,Westbrook Siberian Black Magic Panther - Apple Brandy Barrel,9,Imperial Stout,Westbrook Brewing,330,,/,99,57,SOUTH CAROLINA,93,
,,,Westbrook Mexican Cake Imperial Stout - Tequila Barrel,8,Imperial Stout,Westbrook Brewing,,315,/,100,102,SOUTH CAROLINA,95,
,"Mexican Cake is Westbrook’s first anniversary beer, a deadly imperial stout brewed with vanilla, cinnamon, Ecuadorian and Ghanaian cocoa nibs, and habanero chilis. This special edition has also been further-infused with coffee beans. Drool now, so you can drink later.",,Westbrook Mexican Cake Imperial Stout - Coffee,7,Imperial Stout,Westbrook Brewing,,315,/,100,94,SOUTH CAROLINA,96,
10%,,,Westbrook 4th Anniversary - Bourbon Barrel Aged,6,Imperial Stout,Westbrook Brewing,300,,4.19/5.0,100,32,SOUTH CAROLINA,98,4.06
,,,Westbrook Mexican Cake Imperial Stout - Bourbon Barrel (2015),5,Imperial Stout,Westbrook Brewing,,315,/,100,53,SOUTH CAROLINA,98,
,Red label: Four Roses bourbon barrel aged for 12 months,,Westbrook Mexican Cake Imperial Stout - Bourbon Barrel (2014),4,Imperial Stout,Westbrook Brewing,,315,/,100,59,SOUTH CAROLINA,98,
10.5%,"Happy birthday to us! To celebrate our first year as a brewery we brewed a serious imperial stout and aged it on cocoa nibs, vanilla beans, cinnamon sticks, and fresh habanero peppers. This is the first offering in our annual Anniversary series. Here’s to many more!",,Westbrook Mexican Cake Imperial Stout,3,Imperial Stout,Westbrook Brewing,315,,/,100,632,SOUTH CAROLINA,97,
10.5%,Westbrook Mexican Cake aged in Red Wine (Cabernet) barrels.,,Westbrook Mexican Cake Imperial Stout - Red Wine Barrel,2,Imperial Stout,Westbrook Brewing,315,,/,100,82,SOUTH CAROLINA,98,
10.5%,"2016 Barrel Aged Mexican Cake Reserva. Van Winkle barrels, bourbon barrel aged maple syrup, Tahitian vanilla, Valhrona cocoa nibs, Ceylon cinnamon, and fresh habaneros.",,Westbrook Mexican Cake Imperial Stout - Reserva,1,Imperial Stout,Westbrook Brewing,315,,4.49/5.0,100,12,SOUTH CAROLINA,99,4.12
6.5%,"This beer has generous amounts of flaked oats, chocolate malt and roasted barley giving it a complex body, creamy mouthfeel, and pours with a thick tan head. Fresh brewed hazelnut coffee is added prior to kegging. Not too heavy, not too light, this beer is perfect.",,Whaler's Hazlenut Stout,24,Sweet Stout,Whalers Brewing Company,195,65,3.59/5.0,81,11,RHODE ISLAND,61,3.42
8.5%,,,Narragansett Private Stock Imperial Russian Stout,23,Imperial Stout,Narragansett Brewing Company,255,,3.67/5.0,81,10,RHODE ISLAND,23,3.34
,"In 2006, the Coastal Extreme Brewing Crew started the Cyclone Series, a clever idea before limited release beers were the norm. This clever idea produced 26 different beers ranging widely in taste, complexity, and lack of sleep for our brewers! We traveled through the alphabet, with no shortcuts, starting with Alyssa and now introducing, the last letter ‘Z’ for Zach, an imperial oatmeal stout.

Cyclone Zach is an intense beer, both in its brewing and flavor profile. Six mashes, rather than the usual two, were required to create this brew, leading to round the clock brewing. Boasting a 10.1% ABV Zach is truly a big and bold beer, but his most important characteristic is smoothness. To create Zach’s silky smooth flavor, the brewers combined extra tank conditioning time with the addition of the most flaked oat ever used in a Storm brew, to balance the otherwise over intense roasted backbone of the beer. This Cyclone will stand up to the test of time, our Brew Master recommends aging this beer for years to come.",,Newport Storm Cyclone Series Zach,22,Imperial Stout,Coastal Extreme Brewing Company,47,,3.65/5.0,82,12,RHODE ISLAND,22,3.35
6.5%,"This brew is our entry into the new era of New England IPAs. Unfiltered, with tons of flaked barley, we’ve added 3 times the Citra, Galaxy, Mosaic, and Azacca hops at flame-out and then dry-hopped it 3 times on top. Is this juicy? Yes. Is there mouthfeel? Yes. Is this overkill? Probably, it’s Revival.",,Revival You Thirsty? IPA,21,India Pale Ale (IPA),Revival Brewing Company,195,65,3.64/5.0,82,10,RHODE ISLAND,66,3.45
5.3%,"‘Gansett’s limited-edition Autocrat Coffee Milk Stout, a unique collaboration between two iconic Rhode Island companies, is set to hit shelves in just 2 weeks. A custom blend of Narragansett’s bittersweet milk stout with dark, delicious Autocrat Coffee makes for a delightful beer that is more Rhode Island than Roger Williams himself. Since the 1890’s, Narragansett Beer and Autocrat Coffee have been home-grown Rhode Island favorites. With more than 100 years of shared heritage, the two local legends joined forces to celebrate the art of craft brewing and bring New England an emblematic brew that pays homage to their history. The full-bodied milk stout is enriched with the robust flavor of Autocrat Coffee to achieve an extraordinary taste experience. Brewed under the supervision of award-winning Brewmaster Sean Larkin, Narragansett’s Autocrat Coffee Milk Stout delivers a flavorful, smooth, dark brew with notes of roasted barley, chocolate malt and rich crystal malt. The exacting touch of hops provides just the right amount of bitterness to balance the sweet notes of the malts and milk sugar.",,Narragansett Autocrat Coffee Milk Stout,20,Sweet Stout,Narragansett Brewing Company,159,30,/,84,113,RHODE ISLAND,70,
,"Experience: It’s pouring outside, so pour yourself something inside...

Raincloud is the perfect “stay at home” brew. Dark, smooth, mysterious—this rich and flavorful porter is brewed with chocolate and crystal malts and a subtle blend of European hops. Raincloud is the ideal accompaniment for a lazy day of movie watching or reading.",,Foolproof Raincloud Porter,19,Porter,Foolproof Brewing Company,,195,/,85,90,RHODE ISLAND,84,
,"Limited edition brew for Valentine’s Day in collaboration with Garrison Confections of Central Falls and Walrus and Carpenter Oysters of Charlestown.

The result, Shuckolate, a chocolate-oyster stout, is the perfect concept for a lover’s beer. It will be made with 300 local oysters to add a briny flavor to the roasted chocolate stout.",,Foolproof Shuckolate,18,Stout,Foolproof Brewing Company,,195,3.58/5.0,86,24,RHODE ISLAND,85,3.49
7.5%,,/upload/post.asp?m=1&Id=112517,Union Station Half Day IPA,17,India Pale Ale (IPA),Union Station Brewery (John Harvards),225,,3.66/5.0,87,11,RHODE ISLAND,75,3.48
,,,Revival Burnsider Pale Ale,16,American Pale Ale,Revival Brewing Company,,165,3.58/5.0,87,25,RHODE ISLAND,90,3.49
,"Brewing this Cyclone wasn’t as easy as previous ones; it took round-the-clock brewing and three “maxed mash tuns” to deliver the high extract/sugar content which would translate into Vlad’s hefty ~ 9% ABV.  Further, extra tank conditioning time was required to create the smoothness.
All of the additional production effort is easily rewarded for those who love stouts specializing in dark roasted and chocolate flavors.  Over 15% of this finished brew was created by a confluence of darker specialty grains chosen to be just under the “whoa, that is an intense flavor” threshold.  Vlad drinks remarkably balanced given the higher alcohol and dark malt additions with flavors of rounded baker’s chocolate and dark roasted coffee.  We also used a new ingredient to us: chocolate wheat, to help create the lasting thick tan foam head that invites you to the next warming sip out of your favorite tasting glass. 
Warrior hops were chosen as the sole hop in this brew and were only added to create a rounded bitterness to compliment all that dark malty sweetness.  The emphasis with this brew are the waves of chocolate, roasted, cherry, coffee, and finishing roasted flavors that will almost pleasingly overwhelm you.",,Newport Storm Cyclone Series Vlad,15,Imperial Stout,Coastal Extreme Brewing Company,77,,3.75/5.0,89,10,RHODE ISLAND,36,3.53
